state,county,program_type,plan_name,parent_org,geographic_region,medicaid_enrollment,dual_enrollment,total_enrollment,source_url,source_year,notes
WI,Rock,Marketplace QHP,Marketplace issuer: MercyCare Health Plans (Marketplace),Marketplace issuer: MercyCare Health Plans,FIPS 55105,,,1964,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: MercyCare Health Plans]
WI,Rock,Marketplace QHP,Marketplace issuer: Dean Health Plan (Marketplace),Marketplace issuer: Dean Health Plan,FIPS 55105,,,1528,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Dean Health Plan]
WI,Rock,Marketplace QHP,Marketplace issuer: Quartz (Marketplace),Marketplace issuer: Quartz,FIPS 55105,,,348,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Quartz]
WI,Rusk,Marketplace QHP,Marketplace issuer: Security Health Plan (Marketplace),Marketplace issuer: Security Health Plan,FIPS 55107,,,654,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Security Health Plan]
WI,Rusk,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55107,,,83,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Rusk,Marketplace QHP,Medica (Marketplace),Medica,FIPS 55107,,,51,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Medica]
WI,St. Croix,Marketplace QHP,HealthPartners (Marketplace),HealthPartners,FIPS 55109,,,2469,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: HealthPartners]
WI,St. Croix,Marketplace QHP,Medica (Marketplace),Medica,FIPS 55109,,,1316,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Medica]
WI,St. Croix,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55109,,,177,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Sauk,Marketplace QHP,Marketplace issuer: Dean Health Plan (Marketplace),Marketplace issuer: Dean Health Plan,FIPS 55111,,,1946,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Dean Health Plan]
WI,Sauk,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55111,,,453,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Sauk,Marketplace QHP,Marketplace issuer: Quartz (Marketplace),Marketplace issuer: Quartz,FIPS 55111,,,366,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Quartz]
